,Title,Year,Metacritic,Internet Movie Database,Rotten Tomatoes,IMDB Votes
0,10 Cloverfield Lane,2016,0.76,0.72,0.9,277223.0
1,20 Million Miles to Earth,1957,,0.64,0.8,5923.0
2,2001: A Space Odyssey,1968,0.84,0.8300000000000001,0.93,574348.0
3,Münchhausen,1943,,0.85,,10.0
4,2001: A Space Travesty,2000,,0.36,,11257.0
5,2010: The Year We Make Contact,1984,,,,
6,The 5th Wave,2016,0.33,0.52,0.15,95416.0
7,6 Days on Earth,2011,,,,
8,Abbott and Costello Go to Mars,1953,,0.61,0.33,2986.0
9,"Abraxas, Guardian of the Universe",1990,,0.27999999999999997,,1609.0
10,Absolutely Anything,2015,0.31,0.6,0.18,37558.0
11,The Abyss,1989,0.62,0.76,0.89,157326.0
12,The Adventures of Buckaroo Banzai Across the 8th Dimension,1984,0.7,0.63,0.69,23011.0
13,Aelita,1924,,0.65,1.0,2196.0
14,After Greg,2013,,,,
15,Greg II: The Sequel,1982,,,,
16,Algol: Tragedy of Power,1920,,,,
17,Alien,1979,0.89,0.8400000000000001,0.98,750325.0
18,The Alien,1960s,,0.52,,5.0
19,Alien 2: On Earth,1980,,0.38,,1146.0
20,Alien 3,1992,0.59,0.65,0.43,266885.0
21,Alien Abduction,2005,,0.24,,1240.0
22,Alien Abduction,2014,0.46,0.49000000000000005,0.28,7778.0
23,Alien Abduction: Incident in Lake County,1998,,0.64,,3104.0
24,Alien Agent,2007,,0.41,,1184.0
25,Alien Apocalypse,2005,,0.45,,3673.0
26,Alien Arsenal,1999,,,,
27,Alien: Covenant,2017,0.65,0.64,0.66,242805.0
28,The Alien Factor,1978,,0.4,,782.0
29,Alien Hunter,2003,,0.51,,4112.0
30,Alien Intruder,1993,,0.36,,529.0
31,Alien Invasion Arizona,2005,,,,
32,Alien Nation,1988,0.45,0.63,0.53,13650.0
33,Alien Origin,2012,,0.19,,1461.0
34,Alien Raiders,2008,,0.5599999999999999,1.0,8436.0
35,Alien Resurrection,1997,0.63,0.62,0.56,220394.0
36,Aliens,1986,0.84,0.8300000000000001,0.97,628300.0
37,Aliens Ate My Homework,2018,,0.45999999999999996,,1083.0
38,Aliens in the Attic,2009,0.42,0.54,0.32,20012.0
39,Aliens vs. Avatars,2011,,0.15,,1573.0
40,Aliens vs. Predator: Requiem,2007,0.29,0.47000000000000003,0.12,112801.0
41,Alien Trespass,2009,0.48,0.5599999999999999,0.36,3518.0
42,Alien vs Ninja,2010,,0.43,,2085.0
43,Alien vs. Predator,2004,0.29,0.5599999999999999,0.21,179518.0
44,Allegro Non Troppo,1976,,0.75,0.88,2497.0
45,Almost Human,2013,,0.8,,46754.0
46,Altered,2006,,0.5599999999999999,,9850.0
47,Amazon Women on the Moon,1987,0.42,0.62,0.59,9543.0
48,The Andromeda Strain,1971,0.6,0.72,0.67,32292.0
49,The Angry Red Planet,1959,,0.53,0.0,2724.0
50,Angry Video Game Nerd: The Movie,2014,,0.5599999999999999,,6727.0
